"BSPretty","BIgoal","Prob","Response","Est","BIthreshold","n_AgreePass.cal","n_AgreePass.val","n_AgreeFail.cal","n_AgreeFail.val","n_Disgree_FailBI.cal","n_Disgree_FailBI.val","n_Disgree_FailBS.cal","n_Disgree_FailBS.val","RR.est.cal","RR.est.val","RR.l95.cal","RR.l95.val","RR.u95.cal","RR.u95.val","l95","u95"
"Total N","Ref10","p90","ASCI_H",0.318318318318318,0.833398296479202,467,148,160,50,30,6,75,24,11.2794326241135,17.3423423423423,7.88522588475675,7.77765963926763,16.1346805001313,38.6693236613939,0.237237237237237,0.393393393393393
"Total N","Ref10","p90","ASCI_S",0.801801801801802,0.820582780823756,510,150,89,31,92,35,41,12,4.47976588628763,3.81063122923588,3.58977770762175,2.67912903060725,5.59040253476913,5.42001157814203,0.519519519519519,1.10810810810811
"Total N","Ref10","p90","CSCI",0.591591591591592,0.79,753,247,174,53,202,69,55,20,3.59224350382637,3.32499503672821,3.11506163985535,2.58416177124246,4.14252264728282,4.27821203660625,0.393393393393393,0.807807807807808
"Total N","Ref10","p95","ASCI_D",0.288288288288288,0.782136233857418,460,139,147,40,21,10,104,39,13.4143426294821,7.54430379746835,8.71479096280238,3.98440024460917,20.6481818036948,14.2848399493757,0.135135135135135,0.423423423423423
"Total N","Ref10","p95","ASCI_H",0.186186186186186,0.833398296479202,384,126,173,51,17,5,158,46,12.3285942775902,13.7752577319588,7.65350071135183,5.70175519268356,19.8594398294088,33.2805810087015,0.0900900900900901,0.264264264264264
"Total N","Ref10","p95","ASCI_S",0.429429429429429,0.820582780823756,465,146,115,39,66,27,86,16,4.60312075983718,4.54343434343434,3.56475722124518,3.08695506094795,5.94394496302968,6.68710597515456,0.123123123123123,0.714714714714715
"Total N","Ref10","p95","CSCI",0.309309309309309,0.79,688,233,234,70,142,52,120,34,3.86369061828599,3.68897928994083,3.2682428738562,2.78738299141125,4.56762418523,4.88220249730459,0.0930930930930931,0.507507507507508
"Total N","Ref01","p50","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","ASCI_H",Inf,0.697574776374691,638,204,0,0,94,24,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","ASCI_S",Inf,0.674311297634282,642,197,0,0,90,31,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p50","CSCI",Inf,0.63,976,312,0,0,208,77,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p80","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p80","ASCI_H",2.60960960960961,0.697574776374691,621,199,45,12,49,12,17,5,9.92429229756419,12.4117647058824,7.2777477106387,6.60561448191349,13.533249780494,23.3213584498443,2.15615615615616,Inf
"Total N","Ref01","p80","ASCI_S",Inf,0.674311297634282,642,197,0,0,90,31,0,0,NA,NA,NA,NA,NA,NA,2.64264264264264,Inf
"Total N","Ref01","p80","CSCI",Inf,0.63,976,312,0,0,208,77,0,0,NA,NA,NA,NA,NA,NA,2.73873873873874,Inf
"Total N","Ref01","p90","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","Ref01","p90","ASCI_H",1.66966966966967,0.697574776374691,604,193,53,13,41,11,34,11,9.58368376787216,10.0454545454545,6.81514537224359,5.06878918115423,13.4768944088334,19.9083357816461,1.26126126126126,2.12012012012012
"Total N","Ref01","p90","ASCI_S",2.02702702702703,0.674311297634282,610,186,41,10,49,21,32,11,7.55353648308639,4.69387755102041,5.39073152059416,2.56072352287995,10.5840762396248,8.60400830746235,1.4984984984985,2.64264264264264
"Total N","Ref01","p90","CSCI",1.94594594594595,0.63,922,297,61,18,147,59,54,15,3.85737947352854,3.29121725731895,3.0698119393057,2.2294409608883,4.84699932666383,4.85866691466821,1.43243243243243,2.57057057057057
"Total N","Ref01","p95","ASCI_D",2.98798798798799,0.604520861413057,641,204,19,10,33,9,39,5,6.69070010449321,15.7777777777778,4.07036154976864,7.57077251390667,10.997909483203,32.8814887975654,1.8018018018018,Inf
"Total N","Ref01","p95","ASCI_H",1.00600600600601,0.697574776374691,587,181,60,17,34,7,51,23,9.87281399046105,11.4142857142857,6.82409516407653,5.06187562675058,14.2835722167766,25.7386644742559,0.576576576576577,1.41741741741742
"Total N","Ref01","p95","ASCI_S",1.19219219219219,0.674311297634282,591,176,50,16,40,15,51,21,7.80940594059406,5.50630630630631,5.45359540268372,2.98746838506991,11.1828649985612,10.1488635964792,0.636636636636637,1.72672672672673
"Total N","Ref01","p95","CSCI",1.06906906906907,0.63,901,282,85,29,123,48,75,30,4.42276422764228,3.37923728813559,3.54689097852506,2.33670240072667,5.51492660240896,4.88690585757726,0.54954954954955,1.59159159159159
"Total N","BCG3","p50","ASCI_D",0.567567567567568,0.95,337,99,154,47,224,78,17,4,2.25548245614035,2.09125188536953,2.01421661910148,1.73860633062146,2.52564747093898,2.51542535595069,0.474474474474474,0.714714714714715
"Total N","BCG3","p50","ASCI_H",0.39039039039039,0.97,354,107,194,57,169,63,15,1,2.87256872681974,2.65188834154351,2.52307307347566,2.17273351168726,3.2704764586686,3.23671160691641,0.339339339339339,0.459459459459459
"Total N","BCG3","p50","ASCI_S",2.83783783783784,0.86,489,153,50,14,182,58,11,3,3.02197802197802,2.99594320486815,2.54672489735453,2.19463400603794,3.58591977280493,4.08982803606502,2.27927927927928,Inf
"Total N","BCG3","p50","CSCI",2.10810810810811,0.825,757,243,99,25,315,114,13,7,3.00816326530612,2.44654605263158,2.68252422345936,1.92816710685376,3.37333253194919,3.10428881727684,1.75075075075075,2.66366366366366
"Total N","BCG3","p80","ASCI_D",0.231231231231231,0.95,286,89,222,73,156,52,68,14,2.16896551724138,2.27519893899204,1.88280696434804,1.79826397042979,2.49861589852954,2.8786264403403,0.165165165165165,0.297297297297297
"Total N","BCG3","p80","ASCI_H",0.171171171171171,0.97,280,86,260,83,103,37,89,22,2.77018944557265,2.62779922779923,2.3224710150743,1.9712240251349,3.30421758314886,3.50306646711536,0.129129129129129,0.21021021021021
"Total N","BCG3","p80","ASCI_S",1.24324324324324,0.86,480,148,80,27,152,45,20,8,3.32631578947368,3.30857142857143,2.80681145667419,2.41767625152428,3.94197362455267,4.52775465327817,0.93993993993994,1.66066066066066
"Total N","BCG3","p80","CSCI",0.906906906906907,0.825,740,236,147,47,267,92,30,14,3.1322922617914,2.74697077690663,2.77106271583935,2.20186187387692,3.54061088448029,3.42703079548431,0.717717717717718,1.15015015015015
"Total N","BCG3","p90","ASCI_D",0.117117117117117,0.95,192,63,287,91,91,34,162,40,1.98783621723488,1.98181409968568,1.65528982911849,1.47645937260709,2.38719090580954,2.66013897746318,0.039039039039039,0.183183183183183
"Total N","BCG3","p90","ASCI_H",0.0900900900900901,0.97,174,58,307,103,56,17,195,50,2.51173875924872,2.97001153402537,1.97897102149826,1.92562885354961,3.18793530889399,4.58082485416834,0.042042042042042,0.132132132132132
"Total N","BCG3","p90","ASCI_S",0.663663663663664,0.86,458,141,109,34,123,38,42,15,3.40973456092177,3.26852846401719,2.83197804270277,2.32945829944761,4.10536014073348,4.58616422651734,0.381381381381381,0.966966966966967
"Total N","BCG3","p90","CSCI",0.48048048048048,0.825,711,229,211,62,203,77,59,21,3.51859149790184,2.96854952276639,3.06871576617393,2.35734107532276,4.03441930516201,3.73823133248124,0.306306306306306,0.660660660660661
"Total N","BCG3","p95","ASCI_D",0.0600600600600601,0.95,88,25,332,115,46,10,266,78,1.61727497455286,2.08549222797927,1.26572900843344,1.21807357781996,2.06645998147121,3.57061996266766,-Inf,0.126126126126126
"Total N","BCG3","p95","ASCI_H",0.048048048048048,0.97,75,22,336,115,27,5,294,86,2.01481481481481,3.08955223880597,1.44587270894054,1.38551684322105,2.80763217459981,6.88936629172981,-Inf,0.0900900900900901
"Total N","BCG3","p95","ASCI_S",0.345345345345345,0.86,417,133,143,43,89,29,83,23,3.59739484935866,3.63949843260188,2.90637342258201,2.50180545710082,4.45271402554157,5.29455589894724,0.033033033033033,0.627627627627628
"Total N","BCG3","p95","CSCI",0.249249249249249,0.825,625,215,269,80,145,59,145,35,3.45044144594369,3.23065585851142,2.93183396982564,2.49934212828917,4.06078457866905,4.17595380720386,0.0600600600600601,0.42042042042042
"Total N","BCG4","p50","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p50","ASCI_H",Inf,0.67,654,206,0,0,78,22,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p50","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p50","CSCI",Inf,0.625,979,315,0,0,205,74,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p80","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p80","ASCI_H",Inf,0.67,654,206,0,0,78,22,0,0,NA,NA,NA,NA,NA,NA,2.77477477477477,Inf
"Total N","BCG4","p80","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p80","CSCI",Inf,0.625,979,315,0,0,205,74,0,0,NA,NA,NA,NA,NA,NA,2.75975975975976,Inf
"Total N","BCG4","p90","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p90","ASCI_H",2.1951951951952,0.67,624,199,42,13,36,9,30,7,10.6944444444444,15.0222222222222,7.36432296933751,7.33432730325588,15.5304353776322,30.7686241918394,1.67867867867868,2.77777777777778
"Total N","BCG4","p90","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p90","CSCI",1.96396396396396,0.625,925,300,61,18,144,56,54,15,3.93774154589372,3.46753246753247,3.13003977414878,2.33841460881517,4.95386947166647,5.14185182048791,1.45045045045045,2.59159159159159
"Total N","BCG4","p95","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p95","ASCI_H",1.35135135135135,0.67,607,192,48,15,30,7,47,14,10.7284210526316,14.7044334975369,7.17506259595369,6.5418449597076,16.0415350728031,33.0518937417849,0.810810810810811,1.87087087087087
"Total N","BCG4","p95","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total N","BCG4","p95","CSCI",1.08108108108108,0.625,906,285,84,29,121,45,73,30,4.5411380744328,3.6045197740113,3.63683352111024,2.47465056310722,5.67029942156051,5.25026159043834,0.561561561561562,1.6036036036036
"Total P","Ref30","p50","ASCI_D",0.136636636636637,0.910851912839633,393,123,102,25,223,77,14,3,2.42894696149683,2.3191094619666,2.14412427140784,1.86558770381779,2.75160512869474,2.88288172439001,0.112612612612613,0.175675675675676
"Total P","Ref30","p50","ASCI_H",0.114114114114114,0.931827933347955,409,122,116,31,189,74,18,1,2.73900339571981,2.56587837837838,2.39178568606045,2.12051588635294,3.13662701699731,3.10477836784943,0.0960960960960961,0.13963963963964
"Total P","Ref30","p50","ASCI_S",0.279279279279279,0.926583928220874,394,126,59,12,272,88,7,2,2.18883689839572,2.08441558441558,1.93431260510134,1.59461024308684,2.47685247727969,2.72467102691121,0.214714714714715,0.406906906906907
"Total P","Ref30","p50","CSCI",0.115615615615616,0.92,615,184,166,47,384,154,19,4,2.334375,2.0226636108989,2.12829068465859,1.75566583449766,2.56041464631941,2.33026581850936,0.0990990990990991,0.141141141141141
"Total P","Ref30","p80","ASCI_D",0.0570570570570571,0.910851912839633,359,106,166,38,159,64,48,20,2.52712631517075,1.74030172413793,2.17902536064908,1.32924132517318,2.9308366612705,2.2784802380733,0.042042042042042,0.0735735735735736
"Total P","Ref30","p80","ASCI_H",0.0495495495495495,0.931827933347955,369,106,170,48,135,57,58,17,2.78362573099415,2.11174089068826,2.36458872660136,1.63636483285817,3.27692174249253,2.7252172008706,0.039039039039039,0.0615615615615616
"Total P","Ref30","p80","ASCI_S",0.10960960960961,0.926583928220874,375,123,113,27,218,73,26,5,2.21137218665435,2.26541095890411,1.93716770783985,1.78993099390405,2.52439008151828,2.86719813791769,0.0765765765765766,0.157657657657658
"Total P","Ref30","p80","CSCI",0.0465465465465465,0.92,552,160,265,76,285,125,82,28,2.242833308054,1.66615384615385,2.0071600965853,1.39740629691519,2.50617838421274,1.98658661062391,0.0375375375375375,0.0585585585585586
"Total P","Ref30","p90","ASCI_D",0.0285285285285285,0.910851912839633,277,84,220,67,105,35,130,42,2.28680272108844,2.08990825688073,1.90661774813188,1.52330618582861,2.74279765322722,2.86726106859628,0.012012012012012,0.0435435435435435
"Total P","Ref30","p90","ASCI_H",0.0255255255255255,0.931827933347955,270,83,226,80,79,25,157,40,2.60680173183065,2.88,2.110287225728,1.99529967037044,3.2201376126565,4.15696956360449,0.0135135135135135,0.0375375375375375
"Total P","Ref30","p90","ASCI_S",0.0555555555555556,0.926583928220874,339,105,154,37,177,63,62,23,2.07846829880728,1.64444444444444,1.7953152536245,1.24317344400458,2.40627959932123,2.1752375293292,0.0225225225225225,0.0900900900900901
"Total P","Ref30","p90","CSCI",0.024024024024024,0.92,421,122,371,120,179,81,213,66,2.12940996403153,1.61688570290721,1.85622946583851,1.32391367857898,2.44279431954198,1.97469020719827,0.012012012012012,0.0345345345345345
"Total P","Ref30","p95","ASCI_D",0.015015015015015,0.910851912839633,156,42,271,88,54,14,251,84,2.01894423158791,2.04651162790698,1.58114729755439,1.26937694084361,2.57796083677137,3.2994217150148,-Inf,0.03003003003003
"Total P","Ref30","p95","ASCI_H",0.0135135135135135,0.931827933347955,145,36,267,94,38,11,282,87,2.34210526315789,2.21898543445505,1.74204780738454,1.29695963031751,3.14885564016042,3.79649161255561,-Inf,0.0255255255255255
"Total P","Ref30","p95","ASCI_S",0.0285285285285285,0.926583928220874,255,80,204,61,127,39,146,48,1.75316085489314,1.70759821218537,1.482655314048,1.25596118637471,2.07301923380833,2.32164153310763,-Inf,0.0600600600600601
"Total P","Ref30","p95","CSCI",0.012012012012012,0.92,248,60,446,161,104,40,386,128,1.81434911242604,1.39273356401384,1.52560514892355,1.07229442361487,2.1577422599051,1.80893114578703,-Inf,0.0225225225225225
"Total P","Ref10","p50","ASCI_D",0.346846846846847,0.782136233857418,555,173,47,8,121,42,9,5,4.68890200708383,3.15018315018315,3.84614567436616,1.89293456766377,5.71632067359435,5.24247063222342,0.285285285285285,0.45045045045045
"Total P","Ref10","p50","ASCI_H",0.295795795795796,0.833398296479202,531,171,54,13,136,43,11,1,4.07443438914027,4.62126245847176,3.3831071933045,3.40713958581516,4.90703209885394,6.26803398340106,0.243243243243243,0.382882882882883
"Total P","Ref10","p50","ASCI_S",0.773273273273273,0.820582780823756,545,160,26,0,155,66,6,2,3.66935483870968,0,2.95375113548462,NA,4.55832746727089,NA,0.594594594594595,1.11411411411411
"Total P","Ref10","p50","CSCI",0.453453453453453,0.79,798,261,53,11,323,111,10,6,2.91970121381886,2.16852146263911,2.53476910685669,1.4761627561204,3.36308942495617,3.18561440087093,0.363363363363363,0.608108108108108
"Total P","Ref10","p80","ASCI_D",0.172672672672673,0.782136233857418,538,170,70,16,98,34,26,8,4.73214285714286,4,3.80034035927043,2.63273378909929,5.89241328497932,6.07733302404035,0.138138138138138,0.220720720720721
"Total P","Ref10","p80","ASCI_H",0.141141141141141,0.833398296479202,514,168,84,23,106,33,28,4,4.38679245283019,5.18855218855219,3.57798417914447,3.65590660744203,5.37843295573468,7.36372033096488,0.112612612612613,0.181681681681682
"Total P","Ref10","p80","ASCI_S",0.34984984984985,0.820582780823756,533,157,37,8,144,58,18,5,3.16275252525253,2.28116710875332,2.50127838835845,1.40617349722531,3.99915642438987,3.70062683468723,0.25975975975976,0.5
"Total P","Ref10","p80","CSCI",0.195195195195195,0.79,786,258,97,24,279,98,22,9,3.11150266558236,2.64192949907236,2.72597449851565,2.01924206637272,3.55155517529525,3.4566392976385,0.151651651651652,0.25975975975976
"Total P","Ref10","p90","ASCI_D",0.0990990990990991,0.782136233857418,518,165,102,21,66,29,46,13,6.0982800982801,4.13184584178499,4.74066264585188,2.69247442828878,7.84468816603515,6.3406916258537,0.0675675675675676,0.133633633633634
"Total P","Ref10","p90","ASCI_H",0.0795795795795796,0.833398296479202,493,161,119,29,71,27,49,11,5.62676056338028,5.04814814814815,4.43369765306949,3.38825077120635,7.1408645593352,7.52122597955709,0.0525525525525526,0.108108108108108
"Total P","Ref10","p90","ASCI_S",0.190690690690691,0.820582780823756,515,154,54,14,127,52,36,8,3.03307086614173,2.52097902097902,2.41044551527438,1.69905969171626,3.81652222410452,3.74050144041536,0.117117117117117,0.285285285285285
"Total P","Ref10","p90","CSCI",0.103603603603604,0.79,765,253,160,37,216,85,43,14,3.57963875205255,2.88489042675894,3.11905142759713,2.24680210242477,4.10824056372417,3.70419484894711,0.0660660660660661,0.145645645645646
"Total P","Ref10","p95","ASCI_D",0.0540540540540541,0.782136233857418,470,145,125,28,43,22,94,33,6.80949346925773,3.48435171385991,5.00192743144971,2.16413660521746,9.27026670085545,5.60995402813703,0.0195195195195195,0.0855855855855856
"Total P","Ref10","p95","ASCI_H",0.0435435435435435,0.833398296479202,433,136,141,41,49,15,109,36,5.54791836734694,5.36017316017316,4.16341928030241,3.17069950818003,7.39281733078534,9.06155131790854,0.012012012012012,0.0690690690690691
"Total P","Ref10","p95","ASCI_S",0.100600600600601,0.820582780823756,484,150,78,21,103,45,67,12,3.06568463341145,2.75757575757576,2.43219579813126,1.91550218357353,3.8641717409249,3.96983314557396,0.021021021021021,0.178678678678679
"Total P","Ref10","p95","CSCI",0.0525525525525526,0.79,707,226,217,53,159,69,101,41,3.7166646888968,2.41057662658033,3.16943301824718,1.83491584210515,4.35838092496802,3.16683715910847,0.0135135135135135,0.0900900900900901
"Total P","Ref01","p50","ASCI_D",Inf,0.604520861413057,680,209,0,0,52,19,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total P","Ref01","p50","ASCI_H",1.21321321321321,0.697574776374691,635,203,11,0,83,24,3,1,6.79690189328744,0,4.83552732371644,NA,9.55384433883583,NA,0.953453453453453,Inf
"Total P","Ref01","p50","ASCI_S",Inf,0.674311297634282,642,197,0,0,90,31,0,0,NA,NA,NA,NA,NA,NA,1.37537537537538,Inf
"Total P","Ref01","p50","CSCI",1.46996996996997,0.63,965,312,8,1,200,76,11,0,2.45263157894737,5.10526315789474,1.42589203566822,4.17204657781013,4.21869363989457,6.2472245755794,1.13363363363363,Inf
"Total P","Ref01","p80","ASCI_D",1.33783783783784,0.604520861413057,674,208,7,0,45,19,6,1,8.6034188034188,0,4.82802911800686,NA,15.3310622819063,NA,0.986486486486487,Inf
"Total P","Ref01","p80","ASCI_H",0.65015015015015,0.697574776374691,627,203,23,1,71,23,11,1,6.65037282518641,4.91304347826087,4.82631454464597,1.16150522660546,9.16381605567778,20.7816509701173,0.501501501501502,0.894894894894895
"Total P","Ref01","p80","ASCI_S",0.974474474474474,0.674311297634282,630,196,13,0,77,31,12,1,4.77454545454545,0,3.09994900293535,NA,7.35376107024173,NA,0.708708708708709,Inf
"Total P","Ref01","p80","CSCI",0.708708708708709,0.63,953,305,25,1,183,76,23,7,3.23315118397086,0.626644736842105,2.38995223491927,0.0988520242845213,4.3738391193267,3.97243889595693,0.539039039039039,1.00600600600601
"Total P","Ref01","p90","ASCI_D",0.872372372372372,0.604520861413057,658,208,9,0,43,19,22,1,4.73293323330833,0,2.54012668867837,NA,8.81871644071796,NA,0.614114114114114,1.33333333333333
"Total P","Ref01","p90","ASCI_H",0.394894894894895,0.697574776374691,619,197,29,3,65,21,19,7,6.35769230769231,3.11428571428571,4.59052393592122,1.10890262677052,8.80514992264787,8.74628238409897,0.279279279279279,0.554054054054054
"Total P","Ref01","p90","ASCI_S",0.581081081081081,0.674311297634282,625,195,20,1,70,30,17,2,5.36679536679537,2.5,3.70258787868587,0.485820913485946,7.77901658320096,12.8648228730087,0.39039039039039,0.908408408408408
"Total P","Ref01","p90","CSCI",0.400900900900901,0.63,942,303,35,8,173,69,34,9,3.26924687945045,2.53708439897698,2.49565784824167,1.46666193873064,4.28262839248048,4.38873954355377,0.280780780780781,0.57957957957958
"Total P","Ref01","p95","ASCI_D",0.534534534534534,0.604520861413057,651,206,11,1,41,18,29,3,4.64146341463415,3.11111111111111,2.58673314230258,0.536268605660087,8.32833595281907,18.0488140523632,0.312312312312312,0.846846846846847
"Total P","Ref01","p95","ASCI_H",0.226726726726727,0.697574776374691,598,192,38,5,56,19,40,12,5.68956043956044,3.26625386996904,4.05490267894988,1.39032349443107,7.98319973583053,7.67333241926786,0.112612612612613,0.348348348348348
"Total P","Ref01","p95","ASCI_S",0.328828828828829,0.674311297634282,612,189,27,5,63,26,30,8,5.07518796992481,3.18047337278107,3.53718287316961,1.46082274718881,7.28193419838332,6.92446150255759,0.153153153153153,0.551051051051051
"Total P","Ref01","p95","CSCI",0.217717717717718,0.63,928,298,59,17,149,60,48,14,3.98563632942357,3.27204301075269,3.17667563367429,2.20509324514055,5.00060402202516,4.85524387134619,0.105105105105105,0.345345345345345
"Total P","BCG3","p50","ASCI_D",0.135135135135135,0.95,342,101,104,26,274,99,12,2,2.01560533601812,1.87590187590188,1.80962567342343,1.57628919577927,2.2450305221958,2.2324633432969,0.108108108108108,0.18018018018018
"Total P","BCG3","p50","ASCI_H",0.0885885885885886,0.97,352,106,145,34,218,86,17,2,2.34029901461094,2.10852713178295,2.08196858943316,1.76775838833815,2.63068304948833,2.5149854724459,0.0750750750750751,0.10960960960961
"Total P","BCG3","p50","ASCI_S",0.755255255255255,0.86,494,154,27,0,205,72,6,2,2.78980044345898,0,2.28889313717899,NA,3.40032760285012,NA,0.564564564564565,1.15315315315315
"Total P","BCG3","p50","CSCI",0.220720720720721,0.825,759,243,95,24,319,115,11,7,3.02862719583604,2.41009817671809,2.70602005653403,1.89048649172797,3.38969501323884,3.0725282866796,0.183183183183183,0.277777777777778
"Total P","BCG3","p80","ASCI_D",0.0525525525525526,0.95,310,86,177,45,201,80,44,17,2.03613155939758,1.50604838709677,1.79465000019627,1.20836761491496,2.31010599655722,1.87706267222034,0.036036036036036,0.0705705705705706
"Total P","BCG3","p80","ASCI_H",0.036036036036036,0.97,300,84,218,71,145,49,69,24,2.33113060194641,2.02857142857143,2.00892898935385,1.57683116574078,2.70500844585796,2.60972901235313,0.027027027027027,0.0465465465465465
"Total P","BCG3","p80","ASCI_S",0.31981981981982,0.86,483,151,43,8,189,64,17,5,2.54814814814815,2.06730769230769,2.08637625136211,1.28264052525267,3.11212274424221,3.33200223330903,0.228228228228228,0.481981981981982
"Total P","BCG3","p80","CSCI",0.0960960960960961,0.825,734,237,179,40,235,99,36,13,3.43297377535873,2.56146369353917,3.02520384946907,2.04341154623561,3.89570737336234,3.21085405698436,0.0765765765765766,0.12012012012012
"Total P","BCG3","p90","ASCI_D",0.027027027027027,0.95,237,72,248,83,130,42,117,31,1.91814541622761,1.97619047619048,1.64243441989908,1.51489787365,2.24013926718673,2.57794856413418,0.00750750750750751,0.042042042042042
"Total P","BCG3","p90","ASCI_H",0.018018018018018,0.97,171,50,286,99,77,21,198,58,1.90318772136954,2.1319381255687,1.5583983383464,1.45912803345414,2.32426037274603,3.11498378966361,0.00600600600600601,0.0285285285285285
"Total P","BCG3","p90","ASCI_S",0.168168168168168,0.86,467,147,65,15,167,57,33,9,2.51802517414151,2.23684210526316,2.07797642789306,1.52800906639307,3.05126212814609,3.27449798167035,0.0915915915915916,0.267267267267267
"Total P","BCG3","p90","CSCI",0.0510510510510511,0.825,676,208,232,55,182,84,94,42,3.35495179666959,1.97103583701522,2.89815468991841,1.53357440456907,3.88374768163026,2.53328580551653,0.033033033033033,0.0690690690690691
"Total P","BCG3","p95","ASCI_D",0.0135135135135135,0.95,121,29,316,107,62,18,233,74,1.6989247311828,1.54358502148557,1.37036520882301,1.0520038171539,2.10625986681579,2.26487269314352,-Inf,0.0285285285285285
"Total P","BCG3","p95","ASCI_H",0.00900900900900901,0.97,71,16,331,114,32,6,298,92,1.69380961844197,2.02912621359223,1.25823636432553,1.01285041772589,2.28016857950568,4.06511476781702,-Inf,0.0195195195195195
"Total P","BCG3","p95","ASCI_S",0.0870870870870871,0.86,433,142,96,23,136,49,67,14,2.46409238542043,2.42305570876999,2.02769846700788,1.7086790578227,2.99440542204806,3.43610401316927,0.003003003003003,0.168168168168168
"Total P","BCG3","p95","CSCI",0.0255255255255255,0.825,516,160,299,86,115,53,254,90,2.96672694394213,1.96376500857633,2.47224441019281,1.48661265732969,3.56011271524154,2.59406711620212,0.00600600600600601,0.0435435435435435
"Total P","BCG4","p50","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total P","BCG4","p50","ASCI_H",Inf,0.67,654,206,0,0,78,22,0,0,NA,NA,NA,NA,NA,NA,1.16666666666667,Inf
"Total P","BCG4","p50","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total P","BCG4","p50","CSCI",1.47147147147147,0.625,968,315,8,1,197,73,11,0,2.48998129842372,5.31506849315068,1.44721560048513,4.3214308684401,4.28409344428126,6.53717575194728,1.13663663663664,Inf
"Total P","BCG4","p80","ASCI_D",Inf,0.54,699,213,0,0,33,15,0,0,NA,NA,NA,NA,NA,NA,1.27327327327327,Inf
"Total P","BCG4","p80","ASCI_H",0.831831831831832,0.67,640,205,18,1,60,21,14,1,6.5625,5.38095238095238,4.44311105607739,1.26511122576082,9.69284938108688,22.8870378639351,0.636636636636637,1.16966966966967
"Total P","BCG4","p80","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,Inf,Inf
"Total P","BCG4","p80","CSCI",0.711711711711712,0.625,956,308,25,1,180,73,23,7,3.28703703703704,0.652397260273973,2.42837877030433,0.102856433701863,4.44931104446247,4.13802199721102,0.542042042042042,1.00900900900901
"Total P","BCG4","p90","ASCI_D",1.21021021021021,0.54,691,212,6,0,27,15,8,1,11.3968253968254,0,5.60568198117023,NA,23.1707095696872,NA,0.851351351351351,Inf
"Total P","BCG4","p90","ASCI_H",0.518018018018018,0.67,633,201,21,1,57,21,21,5,6.05263157894737,1.76190476190476,4.09064552670924,0.280120232733594,8.95564007960909,11.0820570143357,0.367867867867868,0.735735735735736
"Total P","BCG4","p90","ASCI_S",Inf,0.36,725,224,0,0,7,4,0,0,NA,NA,NA,NA,NA,NA,1.48498498498498,Inf
"Total P","BCG4","p90","CSCI",0.402402402402402,0.625,945,306,35,8,170,66,34,9,3.32693947144075,2.6524064171123,2.53785756404409,1.52979061644948,4.36136621828086,4.598838380815,0.283783783783784,0.581081081081081
"Total P","BCG4","p95","ASCI_D",0.788288288288288,0.54,674,212,7,1,26,14,25,1,5.88942307692308,8.07142857142857,2.76488583743032,1.83902804510175,12.5449317687672,35.4252124415368,0.48948948948949,1.26576576576577
"Total P","BCG4","p95","ASCI_H",0.303303303303303,0.67,620,196,29,3,49,19,34,10,6.28474246841594,2.61133603238866,4.29822781211118,0.883502697790736,9.18936585515938,7.71822869483361,0.162162162162162,0.465465465465465
